country,doses_per100,total_dose,vaccinated_in_percentage,fully_vaccinated_in_percentage
Oman,6.0,"296,894",4.4,1.6
Paraguay,6.0,"419,925",4.5,1.5
Philippines,5.8,"6,314,548",4.3,1.6
Algeria,5.8,"2,500,000",5.8,
Myanmar,5.5,"2,994,900",3.3,2.3
Iran,5.5,"4,553,653",4.7,0.8
Libya,4.7,"317,809",4.7,
Honduras,4.6,"447,023",4.0,0.6
Pakistan,4.4,"9,559,910",3.4,1.2
Togo,4.3,"347,246",3.4,0.9
Ghana,4.0,"1,228,216",2.8,1.2
Guatemala,3.9,"647,339",3.1,0.8
Namibia,3.9,"96,433",3.3,0.5
Angola,3.8,"1,222,630",2.4,1.4
Ukraine,3.7,"1,661,410",3.2,0.5
Taiwan,3.4,"799,129",3.4,
Senegal,3.3,"545,915",2.9,0.4
Egypt,3.3,"3,340,216",2.8,0.5
Rwanda,3.2,"400,096",2.8,0.4
Eswatini,3.1,"35,227",3.1,
Guinea,3.0,"384,974",2.3,0.7
South Africa,2.9,"1,690,026",,
Venezuela,2.6,"739,962",2.1,0.5
Ivory Coast,2.6,"662,848",2.6,
Nicaragua,2.6,"167,500",2.6,
Solomon Islands,2.5,"17,000",2.5,
Djibouti,2.2,"21,357",1.3,0.9
Kyrgyzstan,2.1,"135,578",1.4,0.7
Kenya,2.0,"1,059,117",1.9,0.1
Malawi,2.0,"369,674",2.0,0.0
Gambia,1.7,"40,810",1.3,0.4
Lesotho,1.7,"36,759",1.7,0.0
Ethiopia,1.7,"1,920,676",,
Uganda,1.7,"757,664",1.7,
Afghanistan,1.7,"641,295",1.3,0.4
Armenia,1.6,"46,503",1.6,
Iraq,1.6,"613,840",1.1,0.4
Gabon,1.5,"32,105",1.0,0.5
Vietnam,1.5,"1,411,548",1.4,0.1
Mozambique,1.3,"394,930",1.1,0.2
Liberia,1.3,"64,129",1.3,0.0
Sierra Leone,1.1,"88,523",1.0,0.2
Sudan,1.1,"483,520",1.0,0.2
Nigeria,1.1,"2,225,765",1.0,0.1
Republic of the Congo,1.1,"57,613",,
Tajikistan,1.0,"97,290",0.9,0.1
Mauritania,1.0,"44,628",0.8,0.2
Guinea-Bissau,1.0,"18,706",1.0,
Somalia,0.9,"143,379",0.8,0.1
Zambia,0.8,"147,115",0.8,0.0
Mali,0.8,"157,129",0.6,0.2
Niger,0.8,"180,987",0.7,0.0
Yemen,0.8,"221,380",0.8,
Turkmenistan,0.7,"41,993",0.5,0.2
Central African Republic,0.6,"26,541",0.5,0.0
Papua New Guinea,0.4,"38,176",0.4,
Syria,0.4,"71,519",0.4,
Madagascar,0.4,"97,300",0.4,
Cameroon,0.3,"86,451",0.3,0.1
Vanuatu,0.3,860,0.3,
Benin,0.2,"26,624",0.2,0.0
South Sudan,0.1,"11,889",0.1,
Burkina Faso,0.0,"7,881",0.0,
Congo,0.0,"31,871",0.0,0.0
Chad,0.0,"5,324",0.0,
